CMDLINE E:\Phis-shield-res\.env\Scripts\python.exe app.py
MEM 1.703125 1745598271.7180
MEM 3.535156 1745598271.8226
MEM 3.535156 1745598271.9326
MEM 3.535156 1745598272.0440
MEM 3.535156 1745598272.1545
MEM 3.535156 1745598272.2662
MEM 3.535156 1745598272.3770
MEM 3.535156 1745598272.4876
MEM 3.535156 1745598272.5978
MEM 3.535156 1745598272.7069
MEM 3.535156 1745598272.8179
MEM 3.535156 1745598272.9300
MEM 3.535156 1745598273.0404
MEM 3.535156 1745598273.1524
MEM 3.535156 1745598273.2633
MEM 3.535156 1745598273.3743
MEM 3.535156 1745598273.4854
MEM 3.535156 1745598273.5959
MEM 3.535156 1745598273.7058
MEM 3.535156 1745598273.8149
MEM 3.535156 1745598273.9260
MEM 3.535156 1745598274.0379
MEM 3.535156 1745598274.1482
MEM 3.535156 1745598274.2587
MEM 3.535156 1745598274.3707
MEM 3.535156 1745598274.4817
MEM 3.535156 1745598274.5937
MEM 3.535156 1745598274.7046
MEM 3.535156 1745598274.8133
MEM 3.535156 1745598274.9246
MEM 3.535156 1745598275.0337
MEM 3.535156 1745598275.1430
MEM 3.535156 1745598275.2530
MEM 3.535156 1745598275.3646
MEM 3.535156 1745598275.4765
MEM 3.535156 1745598275.5844
MEM 3.535156 1745598275.6944
MEM 3.535156 1745598275.8052
MEM 3.535156 1745598275.9152
MEM 3.535156 1745598276.0257
MEM 3.535156 1745598276.1358
MEM 3.535156 1745598276.2459
MEM 3.535156 1745598276.3556
MEM 3.535156 1745598276.4666
MEM 3.535156 1745598276.5760
MEM 3.535156 1745598276.6870
MEM 3.535156 1745598276.7963
MEM 3.535156 1745598276.9057
MEM 3.535156 1745598277.0161
MEM 3.535156 1745598277.1265
MEM 3.535156 1745598277.2385
MEM 3.535156 1745598277.3494
MEM 3.535156 1745598277.4604
MEM 3.535156 1745598277.5714
MEM 3.535156 1745598277.6805
MEM 3.535156 1745598277.7904
MEM 3.535156 1745598277.9002
MEM 3.535156 1745598278.0105
MEM 3.535156 1745598278.1225
MEM 3.535156 1745598278.2336
MEM 3.535156 1745598278.3446
MEM 3.535156 1745598278.4549
MEM 3.535156 1745598278.5624
MEM 3.535156 1745598278.6731
MEM 3.535156 1745598278.7840
MEM 3.535156 1745598278.8950
MEM 3.535156 1745598279.0065
MEM 3.535156 1745598279.1148
MEM 3.535156 1745598279.2250
MEM 3.535156 1745598279.3360
MEM 3.535156 1745598279.4458
MEM 3.535156 1745598279.5570
MEM 3.535156 1745598279.6676
MEM 3.535156 1745598279.7796
MEM 3.535156 1745598279.8909
MEM 3.535156 1745598280.0008
MEM 3.535156 1745598280.1092
MEM 3.535156 1745598280.2198
MEM 3.535156 1745598280.3318
MEM 3.535156 1745598280.4428
MEM 3.535156 1745598280.5536
MEM 3.535156 1745598280.6639
MEM 3.535156 1745598280.7745
MEM 3.535156 1745598280.8855
MEM 3.535156 1745598280.9995
MEM 3.535156 1745598281.1086
MEM 3.535156 1745598281.2196
MEM 3.535156 1745598281.3315
MEM 3.535156 1745598281.4427
MEM 3.535156 1745598281.5527
MEM 3.535156 1745598281.6637
MEM 3.535156 1745598281.7757
MEM 3.535156 1745598281.8856
MEM 3.535156 1745598281.9966
MEM 3.535156 1745598282.1076
MEM 3.535156 1745598282.2186
MEM 3.535156 1745598282.3297
MEM 3.535156 1745598282.4407
MEM 3.535156 1745598282.5516
MEM 3.535156 1745598282.6637
MEM 3.535156 1745598282.7747
MEM 3.535156 1745598282.8886
MEM 3.535156 1745598282.9972
MEM 3.535156 1745598283.1087
MEM 3.535156 1745598283.2197
MEM 3.535156 1745598283.3317
MEM 3.535156 1745598283.4427
MEM 3.535156 1745598283.5539
MEM 3.535156 1745598283.6650
MEM 3.535156 1745598283.7746
MEM 3.535156 1745598283.8876
MEM 3.535156 1745598283.9939
MEM 3.535156 1745598284.1046
MEM 3.535156 1745598284.2146
MEM 3.535156 1745598284.3236
MEM 3.535156 1745598284.4351
MEM 3.535156 1745598284.5449
MEM 3.535156 1745598284.6544
MEM 3.535156 1745598284.7654
MEM 3.535156 1745598284.8763
MEM 3.535156 1745598284.9868
MEM 3.535156 1745598285.0974
MEM 3.535156 1745598285.2091
MEM 3.535156 1745598285.3187
MEM 3.535156 1745598285.4289
MEM 3.535156 1745598285.5399
MEM 3.535156 1745598285.6509
MEM 3.535156 1745598285.7639
MEM 3.535156 1745598285.8728
MEM 3.535156 1745598285.9850
MEM 3.535156 1745598286.0958
MEM 3.535156 1745598286.2068
MEM 3.535156 1745598286.3178
MEM 3.535156 1745598286.4285
MEM 3.535156 1745598286.5389
MEM 3.535156 1745598286.6494
MEM 3.535156 1745598286.7573
MEM 3.535156 1745598286.8684
MEM 3.535156 1745598286.9800
MEM 3.535156 1745598287.0910
MEM 3.535156 1745598287.2006
MEM 3.535156 1745598287.3094
MEM 3.535156 1745598287.4214
MEM 3.535156 1745598287.5317
MEM 3.535156 1745598287.6436
MEM 3.535156 1745598287.7541
MEM 3.535156 1745598287.8654
MEM 3.535156 1745598287.9749
MEM 3.535156 1745598288.0870
MEM 3.535156 1745598288.2000
MEM 3.535156 1745598288.3089
MEM 3.535156 1745598288.4177
MEM 3.535156 1745598288.5267
MEM 3.535156 1745598288.6387
MEM 3.535156 1745598288.7487
MEM 3.535156 1745598288.8597
MEM 3.535156 1745598288.9707
